stop_name,routes,latitude,longitude,cluster
Ποταμός Χάραδρος,"['601', '603', '604', '901']",38.286222,21.774768,70
Πρυτανεία Πανεπιστημίου Πατρών,"['601', '602', '603', '604', '901']",38.286194,21.78604,37
Πολυτεχνείο,"['601', '602', '603', '604', '609', '610', '901', '902']",38.287956,21.786572,37
Συνεδριακό Κέντρο,"['601', '602', '603', '604', '609', '610', '901', '902']",38.289796,21.784963,37
Φυσικό,"['601', '602', '603', '604', '901']",38.291717,21.787022,37
Γεωλογικό,"['601', '602', '603', '604', '901']",38.293593,21.790318,69
Ιατρική,"['601', '602', '603', '604', '901']",38.294478,21.791896,69
Στάση,['603'],38.312369,21.808466,57
Πλάτωνος,['603'],38.307989,21.80924,11
Καραϊσκάκη,['603'],38.306039,21.804782,11
Χανίων,['603'],38.30484,21.801976,11
Βερναδέικα,['603'],38.301513,21.79741,68
Παπανδρέου,['603'],38.309281,21.811589,56
Τσαπαλέικα,['603'],38.310232,21.813432,56
25ης Μαρτίου,['603'],38.311045,21.815075,56
Άγιος Βασίλειος,['603'],38.313396,21.816814,56
Γραμμές ΟΣΕ Άγ. Βασίλειος,['603'],38.314571,21.816398,56
Ρέζου,['603'],38.316372,21.815715,56
Εθνικής Αντιστάσεως,['603'],38.316088,21.812364,56
Αμερικής,['603'],38.315688,21.811203,57
Ελευθερίου Βενιζέλου,['603'],38.31461,21.806969,57
Ελευθερίας,['603'],38.315153,21.806139,57
Ηπείρου,['603'],38.313731,21.802578,11
Οδυσσέα Ανδρούτσου,['603'],38.312389,21.8002,11
Δημορηγόπουλου,['603'],38.311032,21.797035,11
Ηρώων Πολυτεχνείου,['603'],38.310931,21.794246,43
Ποσειδώνος,['603'],38.308979,21.789014,43
Πλάστιγγα,['603'],38.308842,21.786757,43
Αθηνών,['603'],38.293901,21.785758,37
Αγ. Βαρβάρα,"['603', '604']",38.301091,21.796217,68
Πεσόντων,"['603', '604']",38.302572,21.79281,68
Ανατολική Προβλήτα,"['603', '604']",38.309944,21.784354,43
Δυτική Προβλήτα,"['603', '604']",38.308964,21.780327,43
Σώμερσετ,"['603', '604']",38.3078,21.781143,43
Κοραή,"['603', '604']",38.303085,21.782,22
Σταθμός ΟΣΕ Ρίο,"['603', '604']",38.301051,21.782033,22
Σχολεία Ρίο,"['603', '604']",38.299118,21.785652,69
Σταυροπούλου,"['603', '604']",38.296163,21.788516,69
Άγ. Γεώργιος,"['603', '604']",38.294614,21.788256,69
Δημαρχείο Ρίο,"['603', '604']",38.295666,21.791035,69
Αφετηρία Express,['602'],38.2368128,21.7280215,62
Νέο Αρχαιολογικό Μουσείο,['602'],38.263694,21.751805,92
Αρέθα (Miele),['602'],38.268179,21.755162,48
Όθ. Αμαλίας & Καρόλου,"['501', '502', '606', '607', '608', '801', '803', '901']",38.252591,21.736744,30
Βόλου,['607'],38.259424,21.766369,79
Κοζάνης,['607'],38.257742,21.76978,79
Άνω Συχαινά 1,['607'],38.259557,21.769783,79
Άνω Συχαινά 2,['607'],38.259516,21.77124,79
Αερογέφυρα Περιμετρική,['607'],38.259197,21.775527,79
Άγ. Δημήτριος,['607'],38.257809,21.780159,27
Σκιόεσσα,['607'],38.257476,21.783055,27
Βούντενη,['607'],38.257238,21.786834,27
Μάρκου Μπότσαρη,['607'],38.257858,21.787822,27
Βούντενη 2,['607'],38.257483,21.789509,27
Βούντενη 3,['607'],38.256862,21.792717,51
Μπάλα 1,['607'],38.254907,21.797024,51
Μπάλα 2,['607'],38.255072,21.798514,51
Τέρμα Μπάλα,"['607', '609']",38.254567,21.798912,51
Στροφή Καστελλοκάμπου 2,['608'],38.287849,21.775718,70
Μηχανικών Η/Υ,['608'],38.285643,21.788385,37
Γήπεδο Πανεπιστημίου,['608'],38.281806,21.78969,3
ΠΛΠΠ,['608'],38.279576,21.788321,3
Μαγούλα,['608'],38.276931,21.792588,3
Μαγούλα 1,['608'],38.274428,21.797063,3
Μαγούλα 3,['608'],38.27333,21.801674,54
Καστρίτσι 2,['608'],38.273434,21.809873,54
Καστρίτσι 4,['608'],38.272731,21.817991,95
Καστρίτσι 6,['608'],38.275063,21.824386,95
Καστρίτσι 8,['608'],38.27303,21.827388,24
Καστρίτσι 10,['608'],38.271739,21.830058,24
Καστρίτσι 12,['608'],38.272194,21.833507,24
ΤΣ Καστρίτσι,"['608', '609']",38.271468,21.835028,24
Καστρίτσι 11,['609'],38.272287,21.831946,24
Καστρίτσι 9,['609'],38.271928,21.828073,24
Καστρίτσι 7,['609'],38.273956,21.824561,95
Καστρίτσι 5,['609'],38.273758,21.819462,95
Καστρίτσι 3,['609'],38.273704,21.811902,54
Καστρίτσι 1,['609'],38.274512,21.805109,54
Μαγούλα 2,['609'],38.273111,21.799678,54
Γεωργίου Παπανδρέου,['609'],38.277426,21.79363,3
Ηλία Πολίτη,['609'],38.277841,21.791022,3
ΟΑΕΔ,"['609', '610', '902']",38.289716,21.781978,37
ΟΑΕΔ (Μπελαβγένη),"['609', '610', '902']",38.29069,21.780135,37
Στροφή Καστελλόκαμπου,"['609', '610', '902']",38.288006,21.775716,70
Πλάτανος,['609'],38.279252,21.767306,28
Μηχανική Καλλιέργεια 5,['609'],38.275136,21.762499,88
Οικονομική Περιφέρεια Αθηνών Πατρών,"['609', '610']",38.261537,21.749959,38
Πάροδος Θερμοπυλών,"['609', '610']",38.258454,21.747992,38
Αγ. Σοφίας,"['201', '609', '610']",38.256142,21.745367,39
Νάκας,"['609', '804']",38.24928,21.736484,74
Άγ. Διονύσιος - Επίκεντρο,"['503', '609', '804']",38.253193,21.738313,30
Porto Rio,"['606', '609']",38.297593,21.77442,22
Καστελλόκαμπος,['609'],38.291149,21.77101,70
Αχιλλέως,['609'],38.289876,21.76991,70
Χάραδρος,['609'],38.288808,21.768994,70
Δάφνες,['609'],38.285303,21.766741,29
Γραμμές,['609'],38.283018,21.765504,29
Πολυκάστης,['609'],38.281914,21.76702,29
Αφετηρία Αρχ. Κυρίλλου,"['602', '610']",38.236577,21.727731,62
Parking Περιβόλα,"['701', '702', '703', '704', '706', '707']",38.210566,21.762316,78
Δυρραχίου,['701'],38.212072,21.761558,78
Πανίτσα,['701'],38.212729,21.75962,77
Θωμοπούλου,['701'],38.215526,21.754474,26
Σεφέρη,['701'],38.217157,21.75281,26
Κόμβος Κουκούλι,['701'],38.219924,21.750474,45
